Symbol,Date,Open,High,Low,Close,Volume
AADR,29-Aug-13,33.23,33.33,33.15,33.25,9100
AAU,29-Aug-13,1.76,1.78,1.71,1.75,72700
ACCU,29-Aug-13,26.17,26.25,26.11,26.17,14300
ACIM,29-Aug-13,55.13,55.2,55.13,55.19,700
ACU,29-Aug-13,14.24,14.24,14.24,14.24,100
ACWV,29-Aug-13,59.95,60.17,59.87,59.96,22800
ACY,29-Aug-13,20.54,20.99,20.5,20.5,2100
ADGE,29-Aug-13,1.58,1.59,1.41,1.46,79100
ADK,29-Aug-13,4.37,4.5,4.2,4.5,8100
ADK-A,29-Aug-13,27.95,27.95,27.1,27.1,900
AE,29-Aug-13,63.53,63.53,62,62.35,8200
AFK,29-Aug-13,28.56,28.79,28.5,28.55,42500
AGA,29-Aug-13,13.78,13.85,13.58,13.79,2400
AGEM,29-Aug-13,20.64,20.64,20.47,20.47,2800
AGF,29-Aug-13,15.33,15.65,15.3,15.32,41600
AGG,29-Aug-13,106.08,106.43,106,106.38,476200
AGLS,29-Aug-13,21.73,21.73,21.68,21.68,500
AGOL,29-Aug-13,137.4,137.4,137.4,137.4,700
AGQ,29-Aug-13,25.07,25.27,24.43,24.69,2938200
AGX,29-Aug-13,17.22,17.97,17.22,17.78,91000
AGZ,29-Aug-13,110.41,110.71,110.2,110.6,16500
AHB,29-Aug-13,10.02,10.02,10.02,10.02,1500
AHY,29-Aug-13,13.59,13.59,13.59,13.59,1000
AIA,29-Aug-13,43.9,44.29,43.9,44.04,18000
AIRI,29-Aug-13,5.97,5.97,5.97,5.97,400
AJB,29-Aug-13,20.52,20.72,20.36,20.36,3600
AKG,29-Aug-13,2.91,3.06,2.82,2.97,60200
ALD,29-Aug-13,47,47.1,46.88,46.92,64500
ALFA,29-Aug-13,32.98,33.38,32.98,33.25,23200
ALN,29-Aug-13,0.76,0.82,0.61,0.79,110500
ALTV,29-Aug-13,7.16,7.34,7.1,7.2,49600
AMCO,29-Aug-13,0.37,0.37,0.33,0.36,72200
AMJ,29-Aug-13,45.12,45.39,45,45.2,289900
AMLP,29-Aug-13,17.5,17.5,17.43,17.46,1883500
AMPE,29-Aug-13,7.19,7.42,7.11,7.2,460100
AMPS,29-Aug-13,47.55,47.75,47.55,47.73,5300
AMU,29-Aug-13,28.03,28.03,27.77,27.83,22500
ANGL,29-Aug-13,26.41,26.42,26.32,26.38,800
ANV,29-Aug-13,4.51,4.79,4.35,4.69,8399200
AOA,29-Aug-13,40.54,40.7,40.53,40.53,13200
AOK,29-Aug-13,30.79,30.88,30.79,30.83,23600
AOM,29-Aug-13,32.51,32.64,32.51,32.55,20700
AOR,29-Aug-13,35.89,35.93,35.82,35.82,32000
API,29-Aug-13,0.65,0.65,0.61,0.61,8300
APP,29-Aug-13,1.5,1.58,1.5,1.54,281100
APT,29-Aug-13,1.6,1.6,1.57,1.58,24100
APTS,29-Aug-13,8.45,8.46,8.27,8.32,25400
AQQ,29-Aug-13,2.17,2.2,2.15,2.16,1800
ARGT,29-Aug-13,18.44,18.69,18.44,18.66,25300
ASEA,29-Aug-13,15.15,15.28,15.11,15.11,34600
ASM,29-Aug-13,1.37,1.38,1.25,1.35,75600
ATL,29-Aug-13,0.39,0.39,0.37,0.39,212900
ATMP,29-Aug-13,25.99,25.99,25.91,25.97,34700
AUD,29-Aug-13,86.48,88.2,86.41,86.43,4200
AUMN,29-Aug-13,1.28,1.32,1.25,1.26,305200
AUNZ,29-Aug-13,19.38,19.48,19.33,19.42,67200
AUSE,29-Aug-13,56.2,56.33,56.08,56.08,1400
AVL,29-Aug-13,0.81,0.81,0.79,0.79,183000
AWX,29-Aug-13,4.89,4.92,4.85,4.92,5100
